iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
74,2.5440850257873535,1.209973026806731e-05,2.069068651994516e-05,FW,0,26
75,2.586693048477173,1.201016298963676e-05,2.1053361240714753e-05,FW,0,26
76,2.6303627490997314,1.1950097052992534e-05,2.1689097971856256e-05,FW,0,26
77,2.6630258560180664,1.160751046011849e-05,2.331367579590001e-05,FW,0,26
78,2.7043368816375732,1.144733904109513e-05,2.2881167159513783e-05,FW,0,26
79,2.7443041801452637,1.1305768785263752e-05,2.265652643997464e-05,FW,0,26
80,2.779888868331909,1.1111596106147233e-05,2.1534389703097474e-05,FW,0,26
81,2.8153178691864014,1.1006158461893758e-05,2.225986797710507e-05,FW,0,26
82,2.838981866836548,1.0668495425927928e-05,2.1270510147867985e-05,FW,0,26
83,2.86671781539917,1.0572301421875987e-05,1.976965267914037e-05,FW,0,26
84,2.891948938369751,1.0503305795262031e-05,2.077440056127786e-05,FW,0,26
85,2.9130449295043945,1.0241328008048436e-05,2.2357500285508278e-05,FW,0,26
86,2.938074827194214,1.006643489180271e-05,2.0771748412045155e-05,FW,0,26
87,2.9648499488830566,9.959859464728486e-06,2.1094923082195044e-05,FW,0,26
88,2.992203950881958,9.76840255718896e-06,2.023845989232123e-05,FW,0,26
89,3.0206329822540283,9.639880820787492e-06,1.942883710419414e-05,FW,0,26
90,3.047745943069458,9.519164118328175e-06,1.938485431740837e-05,FW,0,26
91,3.0752360820770264,9.380758132245882e-06,1.9589669701778826e-05,FW,0,26
92,3.103487014770508,9.202797217763844e-06,1.7044659459707817e-05,FW,0,26
93,3.1331708431243896,9.114558827851552e-06,1.7401925504581994e-05,FW,0,26
94,3.16051983833313,9.003360165011993e-06,1.7453811504709412e-05,FW,0,26
95,3.188114881515503,8.896772556150985e-06,1.7402026916887915e-05,FW,0,26
96,3.2127060890197754,8.769991157854894e-06,1.6733905417315115e-05,FW,0,26
97,3.2410569190979004,8.683217050665205e-06,1.6630170062311342e-05,FW,0,26
98,3.2706360816955566,8.586526450419247e-06,1.690090741732677e-05,FW,0,26
99,3.2979891300201416,8.501562436610217e-06,1.683043755961031e-05,FW,0,26
100,3.32702898979187,8.405545946895532e-06,1.6335366270390552e-05,FW,0,26
101,3.3546040058135986,8.291363145244347e-06,1.616845360854769e-05,FW,0,26
102,3.381755828857422,8.22534744650516e-06,1.5651696221696366e-05,FW,0,26
103,3.410565137863159,8.134759242290986e-06,1.5161227943986207e-05,FW,0,26
104,3.438483953475952,8.089574651601382e-06,1.5390892265844977e-05,FW,0,26
105,3.467594861984253,8.013923165834178e-06,1.577149959777289e-05,FW,0,26
106,3.494844913482666,7.924525326667297e-06,1.2502758064745034e-05,FW,0,26
107,3.5218560695648193,7.886827113194076e-06,1.2217131573788055e-05,FW,0,26
108,3.5504958629608154,7.865740814953081e-06,1.228748502464656e-05,FW,0,26
109,3.57938289642334,7.796324276035214e-06,1.2314694101864629e-05,FW,0,26
110,3.6093909740448,7.77661209493119e-06,1.2693731582384035e-05,FW,0,26
111,3.6397650241851807,7.738052967649163e-06,1.289577851209018e-05,FW,0,26
112,3.669187068939209,7.674050743886797e-06,1.3266464737587243e-05,FW,0,26
113,3.698706865310669,7.603257308508754e-06,1.2649961394288295e-05,FW,0,26
114,3.7291388511657715,7.547827310974009e-06,1.2806968668069936e-05,FW,0,26
115,3.757906913757324,7.4972801812296605e-06,1.2503793627586251e-05,FW,0,26
116,3.786252021789551,7.446147469877672e-06,1.272466738850541e-05,FW,0,26
117,3.8145639896392822,7.383542645574154e-06,1.2273651268145418e-05,FW,0,26
118,3.8444290161132812,7.3518536575517545e-06,1.2685044595962073e-05,FW,0,26
119,3.873326063156128,7.297554242540432e-06,1.1696421688827377e-05,FW,0,26
120,3.9025940895080566,7.259507376597587e-06,1.1921142089435283e-05,FW,0,26
121,3.9321279525756836,7.1930131975073676e-06,1.1741507456498437e-05,FW,0,26
122,3.9612040519714355,7.161116861585845e-06,1.0921926077555164e-05,FW,0,26
123,3.992304801940918,7.118269066039041e-06,1.0523707717126514e-05,FW,0,26
124,4.023871898651123,7.07737155052797e-06,9.994559500679822e-06,FW,0,26
0,0.0,0.0002977716589198467,0.0006911252938367231,AFW,0,26
1,0.007046937942504883,0.0002850070476509719,0.0006862274881584312,AFW,0,26
2,0.013541936874389648,0.0002665475734092766,0.0006417363753238791,AFW,0,26
3,0.02060389518737793,0.000265564346173914,0.0006366386747052943,AFW,0,26
4,0.027070999145507812,0.00025161341344702497,0.0007488000798290214,AFW,0,26
5,0.033901214599609375,0.00023915745304699642,0.0007141711807906432,AFW,0,26
6,0.040650129318237305,0.00023067282456979294,0.0006728479115796398,AFW,0,26
7,0.04719805717468262,0.00021214941788529906,0.0005828634496077992,AFW,0,26
8,0.05389595031738281,0.00020294940763457652,0.0006956230874397414,AFW,0,26
9,0.06028389930725098,0.00018144901580058288,0.0006009040678336222,AFW,0,26
10,0.06693625450134277,0.00017854718193004556,0.0005881738467829953,AFW,0,26
11,0.07361006736755371,0.0001670324554452999,0.0005371792371765713,AFW,0,26
12,0.08011698722839355,0.0001584751265647003,0.0006199161398756841,AFW,0,26
13,0.08733391761779785,0.0001516259140376353,0.0005921668086977887,AFW,0,26
14,0.09368205070495605,0.00015006735334058383,0.0005858397686561794,AFW,0,26
15,0.10036683082580566,0.0001486976402997033,0.0005802872045587622,AFW,0,26
16,0.10729098320007324,0.000143728379536296,0.0005600873444291173,AFW,0,26
