iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
33,0.1627049446105957,0.00039022338801121754,0.00025362644629300414,PFW,0,6
34,0.17288708686828613,0.00038787904829782114,0.00012816592353572935,PFW,0,6
35,0.18489384651184082,0.00038717796402937905,0.00010241715659801374,PFW,0,6
36,0.1988210678100586,0.0003867272289568898,9.349746073319834e-05,PFW,0,6
0,0.0,0.014624014725603983,0.014292197190061957,BPFW,0,6
1,0.003420114517211914,0.014523714437951788,0.014258900052175772,BPFW,0,6
2,0.006323099136352539,0.013509444157744315,0.013864139112268838,BPFW,0,6
3,0.009099006652832031,0.013502404778851534,0.013881926068516673,BPFW,0,6
4,0.011960983276367188,0.013420495378995624,0.014112531950342462,BPFW,0,6
5,0.014737129211425781,0.013356051888414088,0.01430617376422863,BPFW,0,6
6,0.017647981643676758,0.013085085725846261,0.01511151947003941,BPFW,0,6
7,0.020758867263793945,0.013050985583914598,0.015220714824511514,BPFW,0,6
8,0.0238339900970459,0.01197598241659199,0.014223359831973554,BPFW,0,6
9,0.02664494514465332,0.01162038835815165,0.014895052493516995,BPFW,0,6
10,0.029422998428344727,0.011117751300733562,0.015636124460021203,BPFW,0,6
11,0.032301902770996094,0.009467518157659631,0.015001154116705918,BPFW,0,6
12,0.036126136779785156,0.00888242446656009,0.013040517643139325,BPFW,0,6
13,0.03918719291687012,0.007558697531145428,0.008180245685371419,BPFW,0,6
14,0.04211115837097168,0.006655182881135891,0.005899446092443087,BPFW,0,6
15,0.04534101486206055,0.005903575540531351,0.005462397389874777,BPFW,0,6
16,0.04861903190612793,0.005314190632753641,0.00694407532617858,BPFW,0,6
17,0.0523381233215332,0.004048973748007896,0.0042579415624436154,BPFW,0,6
18,0.05597400665283203,0.003567094900637645,0.004592380131717556,BPFW,0,6
19,0.059407949447631836,0.0028623669847551462,0.0038019955487124334,BPFW,0,6
20,0.06812095642089844,0.002781290880213548,0.003584765759345445,BPFW,0,6
21,0.07159209251403809,0.0021704860704145233,0.003513293929829058,BPFW,0,6
22,0.07519197463989258,0.0014900259611322127,0.0041106550823056835,BPFW,0,6
23,0.07871413230895996,0.001090568565003159,0.004305765805014741,BPFW,0,6
24,0.08343100547790527,0.0008215242017237342,0.0030368425461987365,BPFW,0,6
25,0.08946609497070312,0.0006214038736469333,0.0020203205849753485,BPFW,0,6
26,0.09539794921875,0.0005645260710051055,0.0015936203043535003,BPFW,0,6
27,0.10259509086608887,0.0004939632578880918,0.0012179379299567946,BPFW,0,6
28,0.10920095443725586,0.0004599214406079984,0.000996809174550139,BPFW,0,6
29,0.11688113212585449,0.0004280662730836072,0.0006827405689534727,BPFW,0,6
30,0.1246340274810791,0.00041172543395805395,0.0004745888891921552,BPFW,0,6
31,0.13337206840515137,0.00040166297424684396,0.00041584397604262145,BPFW,0,6
32,0.14465713500976562,0.0003945439264712578,0.0003057952893017015,BPFW,0,6
33,0.15593886375427246,0.00039022338801121754,0.00025362644629300414,BPFW,0,6
34,0.16849303245544434,0.00038787904829782114,0.00012816592353572935,BPFW,0,6
35,0.18210291862487793,0.00038717796402937905,0.00010241715659801374,BPFW,0,6
36,0.19686007499694824,0.0003867272289568898,9.349746073319834e-05,BPFW,0,6
0,0.0,0.016124977754213284,0.010568988449116768,FW,1,6
1,0.005758047103881836,0.010537936297859395,0.02256561022799084,FW,1,6
2,0.011067867279052734,0.0070890581544034315,0.021404657603009074,FW,1,6
3,0.0171658992767334,0.0033131229206236406,0.009505329586899074,FW,1,6
4,0.02374887466430664,0.0022390797689439555,0.007210930675695702,FW,1,6
5,0.03106212615966797,0.0018217621627238953,0.005187988025936037,FW,1,6
6,0.03930306434631348,0.0016173532820664576,0.004874485250163027,FW,1,6
7,0.04890084266662598,0.0014013607153675928,0.0031310217332511953,FW,1,6
8,0.0600430965423584,0.0013366976761062172,0.0024544786278467155,FW,1,6
9,0.07237100601196289,0.0012833612275071505,0.002075457588968878,FW,1,6
10,0.08464503288269043,0.0012630130217358866,0.001506805190774456,FW,1,6
11,0.09804201126098633,0.0012497209488307435,0.0011495799779363128,FW,1,6
12,0.1131279468536377,0.0012391500315691965,0.0012573473684940443,FW,1,6
13,0.1282939910888672,0.0012240516232570925,0.0008747935299483899,FW,1,6
14,0.13609600067138672,0.0011112396757773217,0.0016379988333074544,FW,1,6
15,0.14811086654663086,0.0010969779975091923,0.0021003928700909936,FW,1,6
16,0.16019392013549805,0.0010386409333403436,0.0018630352840145218,FW,1,6
17,0.1718599796295166,0.0009760460481876201,0.0017372005773924775,FW,1,6
18,0.18246102333068848,0.0009214462582294059,0.0013203796700592939,FW,1,6
19,0.19005489349365234,0.0008383794920948672,0.0013012633015178096,FW,1,6
20,0.2016739845275879,0.0008223471770504078,0.001563502251421152,FW,1,6
21,0.21313786506652832,0.0007716256682571736,0.0015114111122928608,FW,1,6
22,0.2259218692779541,0.0007305953954221227,0.0016097991459972096,FW,1,6
23,0.23755502700805664,0.0006960387517449536,0.001575580540176759,FW,1,6
24,0.24941492080688477,0.0006199808978526531,0.0008936213335973417,FW,1,6
25,0.2634389400482178,0.0006071692409976748,0.0010340594291410887,FW,1,6
26,0.2767670154571533,0.000583347396621404,0.0008663843649210565,FW,1,6
27,0.2898600101470947,0.000563963687087724,0.0009307675015049564,FW,1,6
28,0.30132198333740234,0.0005455406829274958,0.000512978603513839,FW,1,6
29,0.3191719055175781,0.0005398631441662969,0.00044688600692077316,FW,1,6
30,0.33562302589416504,0.0005354079195029304,0.0005014409894966773,FW,1,6
31,0.35164880752563477,0.000530195604561128,0.0005461205923256509,FW,1,6
32,0.3650369644165039,0.0005267624681199331,0.0004645406729909001,FW,1,6
33,0.37952089309692383,0.0005217495716838566,0.0004147002553792043,FW,1,6
34,0.3941679000854492,0.0005190566014666164,0.0004853225728806701,FW,1,6
35,0.4087350368499756,0.0005143603523057533,0.00046315055781360293,FW,1,6
36,0.42337894439697266,0.0005094711931242365,0.000511538322585322,FW,1,6
37,0.4376039505004883,0.0005038746225324079,0.00032033536036292823,FW,1,6
38,0.45478200912475586,0.0005016110759194895,0.0003590414562352922,FW,1,6
39,0.4716179370880127,0.000498932623096546,0.00032274779701297994,FW,1,6
40,0.4874389171600342,0.0004969611704468947,0.00034236327632475587,FW,1,6
41,0.502953052520752,0.000494635641985122,0.00031175344893023837,FW,1,6
42,0.5194129943847656,0.0004926233846068143,0.00031399520334282805,FW,1,6
43,0.5358800888061523,0.0004908927107101682,0.00031082061713358415,FW,1,6
44,0.5541000366210938,0.0004888668108618655,0.0003439732339473515,FW,1,6
45,0.5719780921936035,0.00048649530215086,0.00031173811798478805,FW,1,6
46,0.589040994644165,0.0004847516797186219,0.0003292198151204719,FW,1,6
47,0.6052470207214355,0.0004826924361216255,0.0003028004015206783,FW,1,6
48,0.6205978393554688,0.0004808972182663223,0.0003040238821350582,FW,1,6
49,0.6374280452728271,0.0004793662071316796,0.0003021786690538504,FW,1,6
50,0.6550407409667969,0.00047755497898692293,0.0003306571870500361,FW,1,6
51,0.6702637672424316,0.00047545482642439473,0.0003020309853280022,FW,1,6
52,0.6855418682098389,0.0004739122225399572,0.00031760247584285866,FW,1,6
53,0.7009518146514893,0.00047208843656961397,0.0002947439278415542,FW,1,6
54,0.7171390056610107,0.00047048794705634503,0.0002952271984191884,FW,1,6
55,0.7321901321411133,0.0004691331760080915,0.0002943544385573534,FW,1,6
56,0.7480940818786621,0.00046751540627195076,0.00031888510438208276,FW,1,6
57,0.7636709213256836,0.0004656552296034266,0.00029346706066941237,FW,1,6
58,0.7785820960998535,0.00046429008381475176,0.00030733039343102596,FW,1,6
59,0.7935948371887207,0.0004626745629509679,0.0002875075645638244,FW,1,6
60,0.8080978393554688,0.00046124853407124983,0.00028746252927674894,FW,1,6
61,0.8240437507629395,0.00046004940461411606,0.00028728964803091347,FW,1,6
62,0.8391339778900146,0.00045860562322763156,0.00030847436097059997,FW,1,6
63,0.8550710678100586,0.0004569577370323705,0.00028590749345382203,FW,1,6
64,0.874290943145752,0.0004557493275823054,0.0002982448238051422,FW,1,6
65,0.8964250087738037,0.00045431807318726874,0.0002810180835300817,FW,1,6
66,0.9176080226898193,0.00045304815367807385,0.0002806053675696436,FW,1,6
67,0.9401061534881592,0.0004519865366373865,0.00028092523484080903,FW,1,6
68,0.9638919830322266,0.00045069896099669983,0.0002992646262655848,FW,1,6
69,0.985853910446167,0.00044923892699971757,0.000279231110661949,FW,1,6
70,1.008843183517456,0.00044816901387830074,0.000290206320617485,FW,1,6
71,1.0305860042572021,0.000446900835912178,0.0002752063127602763,FW,1,6
72,1.0527429580688477,0.0004457704554764452,0.000274546882879678,FW,1,6
73,1.075753927230835,0.00044483038319262445,0.0002752030420104609,FW,1,6
74,1.1013340950012207,0.0004436828379787492,0.0002911150179202821,FW,1,6
75,1.124722957611084,0.000442389073871225,0.00027333201918197317,FW,1,6
76,1.1481668949127197,0.000441441589456516,0.0002830922891451631,FW,1,6
77,1.1721899509429932,0.00044031776945483456,0.000270007601147527,FW,1,6
78,1.1941468715667725,0.0004393120008509832,0.00026919183112054034,FW,1,6
79,1.2161140441894531,0.00043847939983139225,0.00027006696682055543,FW,1,6
80,1.238874912261963,0.00043745722193341065,0.00028390163868171594,FW,1,6
81,1.2608861923217773,0.0004363106592133514,0.00026811755711490755,FW,1,6
82,1.2841670513153076,0.00043547143971865417,0.00027679486562639757,FW,1,6
83,1.306278944015503,0.00043447543571705735,0.00026536202651437945,FW,1,6
84,1.328287124633789,0.0004335808586160681,0.000264456761038281,FW,1,6
85,1.3490350246429443,0.000432843317003925,0.00026546370632892673,FW,1,6
86,1.371072769165039,0.0004319332524565877,0.0002775154424977282,FW,1,6
87,1.3925750255584717,0.0004309170368342221,0.0002635065401734989,FW,1,6
88,1.4135901927947998,0.0004301735888022392,0.0002712190771173129,FW,1,6
89,1.434168815612793,0.0004292907767466276,0.0002612144217929491,FW,1,6
90,1.4548728466033936,0.00042849534620086364,0.0002602684733416421,FW,1,6
91,1.4734230041503906,0.00042784191124310147,0.000261343205643162,FW,1,6
92,1.491278886795044,0.0004270320091622843,0.00027186038353689833,FW,1,6
93,1.5088520050048828,0.00042613123796558897,0.0002594277578182324,FW,1,6
94,1.527021884918213,0.0004254725349155893,0.000266281243060342,FW,1,6
95,1.5440669059753418,0.00042468998183564145,0.00025751427520554696,FW,1,6
96,1.5586340427398682,0.0004239829032030428,0.0002565626948141404,FW,1,6
97,1.5736110210418701,0.00042340390460189256,0.00025765888935207334,FW,1,6
98,1.5884208679199219,0.0004226834116410095,0.00026685180846046364,FW,1,6
99,1.6027958393096924,0.00042188490342288585,0.00025581868099110226,FW,1,6
